relative_time,ph_7.6,ph_7.6,ph_8.2,ph_7.6,ph_8.2,ph_8.2,
1457457.085,8.146054688,7.593388672,7.742537842,7.518681641,6.611496582,8.004705811,
1457517.085,8.146054688,7.595524902,7.743605957,7.459935303,6.628586426,8.004705811,
1457577.085,8.146054688,7.597661133,7.744674072,7.444981689,6.536728516,8.004705811,
1457637.085,8.146054688,7.598729248,7.745742188,7.436436768,6.590134277,8.005773926,
1457697.085,8.147122803,7.599797363,7.746810303,7.432164307,6.608292236,8.005773926,
1457757.084,8.146054688,7.600865479,7.747878418,7.427891846,6.617905273,8.006842041,
1457817.084,8.146054688,7.601933594,7.748946533,7.423619385,6.640335693,8.005773926,
1457877.084,8.147122803,7.604069824,7.750014648,7.420415039,6.64567627,8.006842041,
1457937.084,8.147122803,7.604069824,7.751082764,7.418278809,6.643540039,8.005773926,
1457997.084,8.147122803,7.604069824,7.752150879,7.412938232,6.620041504,8.004705811,
1458057.084,8.148190918,7.606206055,7.754287109,7.410802002,6.643540039,8.005773926,
1458117.084,8.150327148,7.6094104,7.75642334,7.408665771,6.613632813,8.005773926,
1458177.084,8.152463379,7.610478516,7.75855957,7.408665771,6.637131348,8.005773926,
1458237.084,8.154599609,7.6094104,7.761763916,7.407597656,6.644608154,8.007910156,
1458297.083,8.15887207,7.610478516,7.763900146,7.409733887,6.656357422,8.011114502,
1458357.083,8.161008301,7.6094104,7.766036377,7.409733887,6.663834229,8.013250732,
1458417.083,8.163144531,7.608342285,7.768172607,7.408665771,6.67024292,8.014318848,
1458477.083,8.164212646,7.608342285,7.769240723,7.408665771,6.648880615,8.015386963,
1458537.083,8.165280762,7.608342285,7.770308838,7.409733887,6.611496582,8.016455078,
1458597.083,8.165280762,7.60727417,7.771376953,7.407597656,6.611496582,8.017523193,
1458657.083,8.165280762,7.611546631,7.772445068,7.406529541,6.656357422,8.017523193,
1458717.083,8.164212646,7.617955322,7.773513184,7.405461426,6.671311035,8.017523193,
1458777.082,8.165280762,7.623295898,7.774581299,7.404393311,6.686264648,8.017523193,
1458837.082,8.165280762,7.628636475,7.775649414,7.403325195,6.693741455,8.017523193,
1458897.082,8.165280762,7.632908936,7.776717529,7.403325195,6.673447266,8.017523193,
1458957.082,8.165280762,7.636113281,7.777785645,7.403325195,6.78453125,8.017523193,
1459017.082,8.165280762,7.637181396,7.77885376,7.403325195,6.693741455,8.017523193,
1459077.082,8.165280762,7.638249512,7.78098999,7.40225708,6.718308105,8.016455078,
1459137.082,8.165280762,7.639317627,7.782058105,7.40225708,6.662766113,8.016455078,
1459197.082,8.165280762,7.640385742,7.783126221,7.40012085,6.501480713,8.015386963,
1459257.081,8.165280762,7.642521973,7.784194336,7.40012085,6.659561768,8.015386963,
1459317.081,8.165280762,7.644658203,7.785262451,7.40012085,6.67024292,8.015386963,
1459377.081,8.165280762,7.645726318,7.786330566,7.40012085,6.708695068,8.015386963,
1459437.081,8.165280762,7.646794434,7.787398682,7.397984619,6.720444336,8.014318848,
1459497.081,8.166348877,7.647862549,7.788466797,7.397984619,6.71510376,8.015386963,
1459557.081,8.166348877,7.648930664,7.789534912,7.399052734,6.712967529,8.015386963,
1459617.081,8.166348877,7.65213501,7.789534912,7.399052734,6.688400879,8.016455078,
1459677.081,8.165280762,7.653203125,7.790603027,7.399052734,6.69267334,8.016455078,
1459737.081,8.165280762,7.653203125,7.791671143,7.399052734,6.688400879,8.016455078,
1459797.08,8.165280762,7.653203125,7.792739258,7.40012085,6.69267334,8.016455078,
1459857.08,8.165280762,7.653203125,7.793807373,7.40012085,6.704422607,8.015386963,
1459917.08,8.165280762,7.653203125,7.794875488,7.399052734,6.714035645,8.015386963,
1459977.08,8.165280762,7.655339355,7.795943604,7.40012085,6.69480957,8.015386963,
1460037.08,8.165280762,7.658543701,7.797011719,7.40225708,6.659561768,8.015386963,
1460097.08,8.165280762,7.660679932,7.798079834,7.40225708,6.612564697,8.015386963,
1460157.08,8.165280762,7.662816162,7.799147949,7.40225708,6.674515381,8.016455078,
1460217.08,8.164212646,7.664952393,7.800216064,7.40225708,6.521774902,8.015386963,
1460277.079,8.165280762,7.664952393,7.80128418,7.404393311,6.552750244,8.014318848,
1460337.079,8.165280762,7.667088623,7.802352295,7.404393311,6.516434326,8.015386963,
1460397.079,8.165280762,7.668156738,7.80342041,7.405461426,6.324173584,8.015386963,
1460457.079,8.165280762,7.668156738,7.804488525,7.405461426,6.661697998,8.016455078,
1460517.079,8.165280762,7.668156738,7.804488525,7.406529541,6.5356604,8.016455078,
1460577.079,8.165280762,7.670292969,7.805556641,7.405461426,6.452347412,8.015386963,
1460637.079,8.165280762,7.670292969,7.807692871,7.405461426,6.571976318,8.015386963,
1460697.079,8.168485107,7.673497314,7.809829102,7.406529541,6.562363281,8.016455078,
1460757.078,8.170621338,7.673497314,7.811965332,7.407597656,6.577316895,8.016455078,
1460817.078,8.173825684,7.672429199,7.814101563,7.410802002,6.611496582,8.019659424,
1460877.078,8.178098145,7.67456543,7.817305908,7.416142578,6.847550049,8.021795654,
1460937.078,8.180234375,7.673497314,7.818374023,7.418278809,6.924454346,8.023931885,
1460997.078,8.18130249,7.673497314,7.819442139,7.420415039,6.954361572,8.025,
1461057.078,8.18130249,7.673497314,7.820510254,7.42255127,7.359177246,8.026068115,
1461117.078,8.18130249,7.671361084,7.821578369,7.4246875,7.100693359,8.02713623,
1461177.078,8.182370605,7.671361084,7.822646484,7.42682373,7.816330566,8.028204346,
1461237.078,8.182370605,7.670292969,7.8237146,7.428959961,7.586685791,8.029272461,
1461297.077,8.182370605,7.639317627,7.824782715,7.430028076,7.985092773,8.028204346,
1461357.077,8.182370605,7.549595947,7.824782715,7.430028076,8.14958252,8.029272461,
1461417.077,8.182370605,7.473759766,7.82585083,7.431096191,7.884689941,8.029272461,
1461477.077,8.182370605,7.544255371,7.826918945,7.432164307,6.875321045,8.028204346,
1461537.077,8.182370605,7.58484375,7.827987061,7.432164307,7.589890137,8.028204346,
1461597.077,8.182370605,7.599797363,7.829055176,7.433232422,6.974655762,8.029272461,
1461657.077,8.182370605,7.608342285,7.830123291,7.435368652,7.040878906,8.028204346,
1461717.077,8.182370605,7.614750977,7.830123291,7.437504883,7.156235352,8.028204346,
1461777.076,8.182370605,7.617955322,7.831191406,7.437504883,7.054764404,8.029272461,
1461837.076,8.182370605,7.620091553,7.832259521,7.438572998,6.722580566,8.030340576,
1461897.076,8.182370605,7.622227783,7.833327637,7.439641113,6.826187744,8.030340576,
1461957.076,8.182370605,7.624364014,7.835463867,7.441777344,7.298294678,8.029272461,
1462017.076,8.182370605,7.624364014,7.836531982,7.441777344,6.836868896,8.030340576,
1462077.076,8.18130249,7.625432129,7.836531982,7.443913574,7.040878906,8.030340576,
1462137.076,8.182370605,7.627568359,7.837600098,7.444981689,6.671311035,8.030340576,
1462197.076,8.182370605,7.628636475,7.838668213,7.446049805,6.678787842,8.029272461,
1462257.075,8.182370605,7.630772705,7.839736328,7.446049805,6.676651611,8.029272461,
1462317.075,8.18130249,7.63184082,7.840804443,7.44711792,6.673447266,8.029272461,
1462377.075,8.182370605,7.632908936,7.841872559,7.448186035,6.676651611,8.029272461,
1462437.075,8.182370605,7.635045166,7.842940674,7.44925415,6.705490723,8.028204346,
1462497.075,8.18130249,7.637181396,7.844008789,7.451390381,7.109238281,8.02713623,
1462557.075,8.18130249,7.640385742,7.844008789,7.452458496,6.726853027,8.028204346,
1462617.075,8.18130249,7.642521973,7.845076904,7.454594727,6.721512451,8.02713623,
1462677.075,8.18130249,7.644658203,7.84614502,7.456730957,6.714035645,8.02713623,
1462737.075,8.18130249,7.645726318,7.847213135,7.456730957,6.718308105,8.02713623,
1462797.074,8.18130249,7.646794434,7.84828125,7.456730957,6.71510376,8.02713623,
1462857.074,8.18130249,7.646794434,7.84828125,7.457799072,6.718308105,8.028204346,
1462917.074,8.18130249,7.647862549,7.849349365,7.459935303,6.721512451,8.02713623,
1462977.074,8.18130249,7.648930664,7.85041748,7.461003418,6.714035645,8.02713623,
1463037.074,8.180234375,7.648930664,7.851485596,7.459935303,6.724716797,8.026068115,
1463097.074,8.180234375,7.649998779,7.852553711,7.461003418,6.730057373,8.026068115,
1463157.074,8.182370605,7.65213501,7.853621826,7.463139648,6.730057373,8.026068115,
1463217.074,8.184506836,7.65427124,7.855758057,7.465275879,6.730057373,8.02713623,
1463277.073,8.187711182,7.65213501,7.857894287,7.468480225,6.736466064,8.02713623,
1463337.073,8.191983643,7.65213501,7.861098633,7.474888916,6.73967041,8.028204346,
