flask,ph,seconds,species
p_h_7_6_6,7.537877197,6360,nanno
p_h_7_6_4,7.56354126,6420,nanno
p_h_8_2_7,7.853914795,6420,nanno
p_h_8_2_5,8.015091553,6420,nanno
p_h_7_6_6,7.536809082,6420,nanno
p_h_7_6_4,7.56354126,6480,nanno
p_h_8_2_7,7.853914795,6480,nanno
p_h_8_2_5,8.014023438,6480,nanno
p_h_7_6_6,7.535740967,6480,nanno
p_h_7_6_4,7.564609375,6540,nanno
p_h_8_2_7,7.853914795,6540,nanno
p_h_8_2_5,8.014023438,6540,nanno
p_h_7_6_6,7.534672852,6540,nanno
p_h_7_6_4,7.567813721,6600,nanno
p_h_8_2_7,7.858187256,6600,nanno
p_h_8_2_5,8.015091553,6600,nanno
p_h_7_6_6,7.538945313,6600,nanno
p_h_7_6_4,7.569949951,6660,nanno
p_h_8_2_7,7.860323486,6660,nanno
p_h_8_2_5,8.015091553,6660,nanno
p_h_7_6_6,7.543217773,6660,nanno
p_h_7_6_4,7.572086182,6720,nanno
p_h_8_2_7,7.861391602,6720,nanno
p_h_8_2_5,8.015091553,6720,nanno
p_h_7_6_6,7.545354004,6720,nanno
p_h_7_6_4,7.574222412,6780,nanno
p_h_8_2_7,7.862459717,6780,nanno
p_h_8_2_5,8.015091553,6780,nanno
p_h_7_6_6,7.547490234,6780,nanno
p_h_7_6_4,7.577426758,6840,nanno
p_h_8_2_7,7.867800293,6840,nanno
p_h_8_2_5,8.016159668,6840,nanno
p_h_7_6_6,7.553898926,6840,nanno
p_h_7_6_4,7.579562988,6900,nanno
p_h_8_2_7,7.871004639,6900,nanno
p_h_8_2_5,8.016159668,6900,nanno
p_h_7_6_6,7.558171387,6900,nanno
p_h_7_6_4,7.581699219,6960,nanno
p_h_8_2_7,7.880617676,6960,nanno
p_h_8_2_5,8.017227783,6960,nanno
p_h_7_6_6,7.562443848,6960,nanno
p_h_7_6_4,7.581699219,7020,nanno
p_h_8_2_7,7.878481445,7020,nanno
p_h_8_2_5,8.016159668,7020,nanno
p_h_7_6_6,7.562443848,7020,nanno
p_h_7_6_4,7.581699219,7080,nanno
p_h_8_2_7,7.8752771,7080,nanno
p_h_8_2_5,8.016159668,7080,nanno
p_h_7_6_6,7.562443848,7080,nanno
p_h_7_6_4,7.581699219,7140,nanno
p_h_8_2_7,7.872072754,7140,nanno
p_h_8_2_5,8.015091553,7140,nanno
p_h_7_6_6,7.561375732,7140,nanno
p_h_7_6_4,7.581699219,7200,nanno
p_h_8_2_7,7.871004639,7200,nanno
p_h_8_2_5,8.015091553,7200,nanno
p_h_7_6_6,7.560307617,7200,nanno
p_h_7_6_4,7.582767334,7260,nanno
p_h_8_2_7,7.868868408,7260,nanno
p_h_8_2_5,8.014023438,7260,nanno
p_h_7_6_6,7.560307617,7260,nanno
p_h_7_6_4,7.582767334,7320,nanno
p_h_8_2_7,7.866732178,7320,nanno
p_h_8_2_5,8.014023438,7320,nanno
p_h_7_6_6,7.559239502,7320,nanno
p_h_7_6_4,7.582767334,7380,nanno
p_h_8_2_7,7.865664063,7380,nanno
p_h_8_2_5,8.014023438,7380,nanno
p_h_7_6_6,7.559239502,7380,nanno
p_h_7_6_4,7.582767334,7440,nanno
p_h_8_2_7,7.864595947,7440,nanno
p_h_8_2_5,8.014023438,7440,nanno
p_h_7_6_6,7.559239502,7440,nanno
p_h_7_6_4,7.582767334,7500,nanno
p_h_8_2_7,7.863527832,7500,nanno
p_h_8_2_5,8.012955322,7500,nanno
p_h_7_6_6,7.559239502,7500,nanno
p_h_7_6_4,7.582767334,7560,nanno
p_h_8_2_7,7.862459717,7560,nanno
p_h_8_2_5,8.012955322,7560,nanno
p_h_7_6_6,7.559239502,7560,nanno
p_h_7_6_4,7.583835449,7620,nanno
p_h_8_2_7,7.861391602,7620,nanno
p_h_8_2_5,8.012955322,7620,nanno
p_h_7_6_6,7.558171387,7620,nanno
p_h_7_6_4,7.583835449,7680,nanno
p_h_8_2_7,7.860323486,7680,nanno
p_h_8_2_5,8.011887207,7680,nanno
p_h_7_6_6,7.558171387,7680,nanno
p_h_7_6_4,7.583835449,7740,nanno
p_h_8_2_7,7.857119141,7740,nanno
p_h_8_2_5,8.011887207,7740,nanno
p_h_7_6_6,7.558171387,7740,nanno
p_h_7_6_4,7.583835449,7800,nanno
p_h_8_2_7,7.85498291,7800,nanno
p_h_8_2_5,8.010819092,7800,nanno
p_h_7_6_6,7.557103271,7800,nanno
p_h_7_6_4,7.584903564,7860,nanno
p_h_8_2_7,7.856051025,7860,nanno
p_h_8_2_5,8.010819092,7860,nanno
p_h_7_6_6,7.558171387,7860,nanno
p_h_7_6_4,7.58597168,7920,nanno
p_h_8_2_7,7.858187256,7920,nanno
p_h_8_2_5,8.010819092,7920,nanno
p_h_7_6_6,7.560307617,7920,nanno
p_h_7_6_4,7.58810791,7980,nanno
p_h_8_2_7,7.860323486,7980,nanno
p_h_8_2_5,8.011887207,7980,nanno
p_h_7_6_6,7.562443848,7980,nanno
p_h_7_6_4,7.590244141,8040,nanno
p_h_8_2_7,7.863527832,8040,nanno
p_h_8_2_5,8.011887207,8040,nanno
p_h_7_6_6,7.565648193,8040,nanno
p_h_7_6_4,7.593448486,8100,nanno
p_h_8_2_7,7.865664063,8100,nanno
p_h_8_2_5,8.011887207,8100,nanno
p_h_7_6_6,7.567784424,8100,nanno
p_h_7_6_4,7.595584717,8160,nanno
p_h_8_2_7,7.867800293,8160,nanno
p_h_8_2_5,8.010819092,8160,nanno
p_h_7_6_6,7.57098877,8160,nanno
p_h_7_6_4,7.597720947,8220,nanno
p_h_8_2_7,7.876345215,8220,nanno
p_h_8_2_5,8.011887207,8220,nanno
p_h_7_6_6,7.57526123,8220,nanno
p_h_7_6_4,7.599857178,8280,nanno
p_h_8_2_7,7.87741333,8280,nanno
p_h_8_2_5,8.011887207,8280,nanno
p_h_7_6_6,7.577397461,8280,nanno
p_h_7_6_4,7.600925293,8340,nanno
p_h_8_2_7,7.876345215,8340,nanno
p_h_8_2_5,8.011887207,8340,nanno
p_h_7_6_6,7.579533691,8340,nanno
p_h_7_6_4,7.600925293,8400,nanno
p_h_8_2_7,7.874208984,8400,nanno
p_h_8_2_5,8.010819092,8400,nanno
p_h_7_6_6,7.579533691,8400,nanno
p_h_7_6_4,7.601993408,8460,nanno
p_h_8_2_7,7.873140869,8460,nanno
p_h_8_2_5,8.010819092,8460,nanno
p_h_7_6_6,7.579533691,8460,nanno
p_h_7_6_4,7.600925293,8520,nanno
p_h_8_2_7,7.872072754,8520,nanno
p_h_8_2_5,8.009750977,8520,nanno
p_h_7_6_6,7.578465576,8520,nanno
p_h_7_6_4,7.600925293,8580,nanno
p_h_8_2_7,7.869936523,8580,nanno
p_h_8_2_5,8.009750977,8580,nanno
p_h_7_6_6,7.578465576,8580,nanno
p_h_7_6_4,7.601993408,8640,nanno
p_h_8_2_7,7.869936523,8640,nanno
p_h_8_2_5,8.008682861,8640,nanno
p_h_7_6_6,7.577397461,8640,nanno
p_h_7_6_4,7.601993408,8700,nanno
p_h_8_2_7,7.868868408,8700,nanno
p_h_8_2_5,8.008682861,8700,nanno
p_h_7_6_6,7.577397461,8700,nanno
p_h_7_6_4,7.601993408,8760,nanno
p_h_8_2_7,7.867800293,8760,nanno
p_h_8_2_5,8.008682861,8760,nanno
p_h_7_6_6,7.577397461,8760,nanno
p_h_7_6_4,7.601993408,8820,nanno
p_h_8_2_7,7.866732178,8820,nanno
p_h_8_2_5,8.008682861,8820,nanno
p_h_7_6_6,7.577397461,8820,nanno
p_h_7_6_4,7.601993408,8880,nanno
p_h_8_2_7,7.865664063,8880,nanno
p_h_8_2_5,8.007614746,8880,nanno
p_h_7_6_6,7.576329346,8880,nanno
p_h_7_6_4,7.601993408,8940,nanno
p_h_8_2_7,7.864595947,8940,nanno
p_h_8_2_5,8.007614746,8940,nanno
p_h_7_6_6,7.576329346,8940,nanno
p_h_7_6_4,7.601993408,9000,nanno
p_h_8_2_7,7.863527832,9000,nanno
p_h_8_2_5,8.006546631,9000,nanno
p_h_7_6_6,7.57526123,9000,nanno
p_h_7_6_4,7.601993408,9060,nanno
p_h_8_2_7,7.863527832,9060,nanno
p_h_8_2_5,8.006546631,9060,nanno
p_h_7_6_6,7.57526123,9060,nanno
p_h_7_6_4,7.603061523,9120,nanno
